Chinese Buddha	100 10th St NW, Atlanta, GA 30309	Chinese		3.9	https://www.google.com/maps/place/Chinese+Buddha/@33.7812819,-84.3943547,16z/data=!3m1!5s0x88f5045df65e94ed:0x2b09598ccbd28a44!4m9!1m2!2m1!1schinese+restaurant!3m5!1s0x88f505ec2284c573:0xf63742a423e9888e!8m2!3d33.7812993!4d-84.3899612!15sChJjaGluZXNlIHJlc3RhdXJhbnRaFCISY2hpbmVzZSByZXN0YXVyYW50kgESY2hpbmVzZV9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMY21WSU9IaDNSUkFC
Lucky Buddha	529 10th St NW, Atlanta, GA 30318	Chinese	$	3.2	https://www.google.com/maps/place/Lucky+Buddha/@33.7812819,-84.3943547,16z/data=!4m9!1m2!2m1!1schinese+restaurant!3m5!1s0x88f504f2d273a0bf:0xbddec95b076381fe!8m2!3d33.7817996!4d-84.4048193!15sChJjaGluZXNlIHJlc3RhdXJhbnRaFCISY2hpbmVzZSByZXN0YXVyYW50kgESY2hpbmVzZV9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU13YmxwUFJYcG5SUkFC
Hsu's Gourmet	192 Peachtree Center Ave NE, Atlanta, GA 30303	Chinese	$$	4.4	https://www.google.com/maps/place/Hsu's+Gourmet/@33.7594713,-84.3906568,16z/data=!3m1!5s0x88f50478138b8b01:0xe21413c9cba837a3!4m9!1m2!2m1!1schinese+restaurant!3m5!1s0x88f5047810c66405:0x34c7f172abf311b3!8m2!3d33.7594713!4d-84.3862794!15sChJjaGluZXNlIHJlc3RhdXJhbnRaFCISY2hpbmVzZSByZXN0YXVyYW50kgESY2hpbmVzZV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJOYjNaSWMxRkJFQUU
China Breeze Underground	96 Upper Alabama St, Atlanta, GA 30303	Chinese	$	4.1	https://www.google.com/maps/place/China+Breeze+Underground/@33.7527854,-84.3953566,16z/data=!3m1!5s0x88f50383ff2f0099:0xb7d6a0e7f59f8645!4m9!1m2!2m1!1schinese+restaurant!3m5!1s0x88f50384009f5309:0x57a5226b395c40dc!8m2!3d33.752858!4d-84.3909218!15sChJjaGluZXNlIHJlc3RhdXJhbnRaFCISY2hpbmVzZSByZXN0YXVyYW50kgESY2hpbmVzZV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5uZVdaUWRsUkJFQUU
Panda Express	55 Gilmer St SE, Atlanta, GA 30302	Chinese	$	2.1	https://www.google.com/maps/place/Panda+Express/@33.7527854,-84.3953566,16z/data=!4m9!1m2!2m1!1schinese+restaurant!3m5!1s0x88f5034eae24df1d:0x36bf2fae0083b8ab!8m2!3d33.7528612!4d-84.3846866!15sChJjaGluZXNlIHJlc3RhdXJhbnRaFCISY2hpbmVzZSByZXN0YXVyYW50kgESY2hpbmVzZV9yZXN0YXVyYW50
United China	230 Spring St NW # 793, Atlanta, GA 30303	Chinese		5	https://www.google.com/maps/place/United+China/@33.7527854,-84.3953566,16z/data=!4m9!1m2!2m1!1schinese+restaurant!3m5!1s0x88f503778a425455:0x9d1dd6bb17a0872b!8m2!3d33.760953!4d-84.3891444!15sChJjaGluZXNlIHJlc3RhdXJhbnRaFCISY2hpbmVzZSByZXN0YXVyYW50kgESY2hpbmVzZV9yZXN0YXVyYW50
Taste of Asia	303 Peachtree Center Ave NE, Atlanta, GA 30303	Chinese		3.2	https://www.google.com/maps/place/Taste+of+Asia/@33.7556038,-84.3941765,16z/data=!4m9!1m2!2m1!1schinese+restaurant!3m5!1s0x88f50479e05ea211:0x268a30d6cc8d4aa1!8m2!3d33.7627197!4d-84.3858958!15sChJjaGluZXNlIHJlc3RhdXJhbnRaFCISY2hpbmVzZSByZXN0YXVyYW50kgESY2hpbmVzZV9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ2ZGkwMmIzUjNSUkFC
Best Cajun Asian Restaurant	50 Broad St NW, Atlanta, GA 30303	Chinese	$	3.9	https://www.google.com/maps/place/Best+Cajun+Asian+Restaurant/@33.7556038,-84.3941765,16z/data=!4m9!1m2!2m1!1schinese+restaurant!3m5!1s0x88f50386e09d8b0b:0xe0072e1f2d928472!8m2!3d33.7556038!4d-84.3897991!15sChJjaGluZXNlIHJlc3RhdXJhbnRaFCISY2hpbmVzZSByZXN0YXVyYW50kgEXYXNpYW5fZnVzaW9uX3Jlc3RhdXJhbnQ
East Wave Asian Fusion	60 Luckie St NW, Atlanta, GA 30303	Chinese	$	4.2	https://www.google.com/maps/place/East+Wave+Asian+Fusion/@33.7556038,-84.3941765,16z/data=!4m9!1m2!2m1!1schinese+restaurant!3m5!1s0x88f503871bca1d17:0x70e645c652e59e00!8m2!3d33.7560929!4d-84.3891333!15sChJjaGluZXNlIHJlc3RhdXJhbnRaFCISY2hpbmVzZSByZXN0YXVyYW50kgEXYXNpYW5fZnVzaW9uX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5NM05oVW5OblJSQUI
Doc Chey's Noodle House	563 Memorial Dr SE, Atlanta, GA 30312	Chinese	$	4.4	https://www.google.com/maps/place/Doc+Chey's+Noodle+House/@33.7465634,-84.3738844,16z/data=!3m1!5s0x88f503eeec41895b:0x4fa968ba826bab44!4m9!1m2!2m1!1schinese+restaurant!3m5!1s0x88f503ee1d3d09f3:0x947638e8e3431c31!8m2!3d33.7465634!4d-84.369507!15sChJjaGluZXNlIHJlc3RhdXJhbnRaFCISY2hpbmVzZSByZXN0YXVyYW50kgEQYXNpYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOQlgySjZaVEIzUlJBQg
Taqueria on Broad	54 Broad St NW, Atlanta, GA 30303	Mexican	$	4.6	https://www.google.com/maps/place/Taqueria+on+Broad/@33.7557132,-84.3984219,15z/data=!4m9!1m2!2m1!1smexican+restaurant!3m5!1s0x88f50386e073517f:0x36ce0b435efe6c0e!8m2!3d33.7557132!4d-84.3896672!15sChJtZXhpY2FuIHJlc3RhdXJhbnRaFCISbWV4aWNhbiByZXN0YXVyYW50kgESbWV4aWNhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJWY2w5RGJIVlJSUkFC
Moe's Southwest Grill	70 Peachtree St, Atlanta, GA 30303	Mexican	$	3.4	https://www.google.com/maps/place/Moe's+Southwest+Grill/@33.7557132,-84.3984219,15z/data=!4m9!1m2!2m1!1smexican+restaurant!3m5!1s0x88f50383fb3b97ef:0xb5395dc69614c3d4!8m2!3d33.7556199!4d-84.3890086!15sChJtZXhpY2FuIHJlc3RhdXJhbnRaFCISbWV4aWNhbiByZXN0YXVyYW50kgESbWV4aWNhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5uYm5OeGMxVkJFQUU
Willy's Mexicana Grill	235 Peachtree St NE, Atlanta, GA 30303	Mexican	$	4.3	https://www.google.com/maps/place/Willy's+Mexicana+Grill/@33.7557132,-84.3984219,15z/data=!4m9!1m2!2m1!1smexican+restaurant!3m5!1s0x88f50478380d3e15:0x8a334fab773c850e!8m2!3d33.7605323!4d-84.3872341!15sChJtZXhpY2FuIHJlc3RhdXJhbnRaFCISbWV4aWNhbiByZXN0YXVyYW50kgESdGV4X21leF9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5OWnpSWVVVTlJFQUU
Dos Bocas	275 Baker St NW, Atlanta, GA 30313	Mexican		4.1	https://www.google.com/maps/place/Dos+Bocas/@33.7557132,-84.3984219,15z/data=!4m9!1m2!2m1!1smexican+restaurant!3m5!1s0x88f505597fccf793:0xde851b5b67d0ce2a!8m2!3d33.7619811!4d-84.3952947!15sChJtZXhpY2FuIHJlc3RhdXJhbnRaFCISbWV4aWNhbiByZXN0YXVyYW50kgESbWV4aWNhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJMY2xwcExXTjNFQUU
No Mas! Cantina	180 Walker St SW ste b, Atlanta, GA 30313	Mexican	$$	4.3	https://www.google.com/maps/place/No+Mas!+Cantina/@33.74995,-84.4053691,16z/data=!3m1!5s0x88f503798e4b1505:0xc581932b5a287432!4m9!1m2!2m1!1sMexican+restaurant!3m5!1s0x88f50379850e084f:0x4676936f5c130fc5!8m2!3d33.74995!4d-84.4009917!15sChJNZXhpY2FuIHJlc3RhdXJhbnRaFCISbWV4aWNhbiByZXN0YXVyYW50kgESbWV4aWNhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oTUhSVGJ6QjNSUkFC
Mi Barrio Mexican Restaurant	571 Memorial Dr SE, Atlanta, GA 30312	Mexican	$	4.3	https://www.google.com/maps/place/Mi+Barrio+Mexican+Restaurant/@33.7465056,-84.3731178,16z/data=!3m1!5s0x88f503f1e041dc79:0x8bda7812a6e161cc!4m9!1m2!2m1!1sMexican+restaurant!3m5!1s0x88f503f1e018ba09:0x7b23f43be6acbf6a!8m2!3d33.7465194!4d-84.3687403!15sChJNZXhpY2FuIHJlc3RhdXJhbnRaFCISbWV4aWNhbiByZXN0YXVyYW50kgESbWV4aWNhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oTjNNMmJHVkJFQUU
Mezcalito's Cocina & Tequila Bar	304 Oakland Ave SE, Atlanta, GA 30312	Mexican	$$	4.2	https://www.google.com/maps/place/Mezcalito's+Cocina+%26+Tequila+Bar/@33.7465056,-84.3731178,16z/data=!3m1!5s0x88f503ed50b24ee5:0xb9b0b3ac1ac95705!4m9!1m2!2m1!1sMexican+restaurant!3m5!1s0x88f503ed50b44fcd:0x34285e1bfbf1fb94!8m2!3d33.7464061!4d-84.3745343!15sChJNZXhpY2FuIHJlc3RhdXJhbnRaFCISbWV4aWNhbiByZXN0YXVyYW50kgESbWV4aWNhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oZDNSRWMyUlJFQUU
